departamento,anio,tasa_desercion
Arauca,2015,0.22451456310679613
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2015,0.03926096997690531
Atlántico,2015,0.07222660630477219
Bogotá D.C.,2015,0.12259519702799522
Bolívar,2015,0.12640608561948694
Boyacá,2015,0.10062145859989033
Caldas,2015,0.14743784880771182
Caquetá,2015,0.17529215358931552
Casanare,2015,0.08728046833422033
Cauca,2015,0.12367270455965022
Cesar,2015,0.07107355864811134
Chocó,2015,0.20770128354725786
Córdoba,2015,0.199055330634278
Cundinamarca,2015,0.11994955392591901
Guainía,2015,0.2845528455284553
Guaviare,2015,0.1699489423778264
Huila,2015,0.11322927328556806
La Guajira,2015,0.12373391732822338
Magdalena,2015,0.06744363775315246
Meta,2015,0.16921052631578948
Nariño,2015,0.119625520110957
Norte De Santander,2015,0.12578282560237766
Putumayo,2015,0.13636363636363635
Quindío,2015,0.10408103347034645
Risaralda,2015,0.12287003776365478
Santander,2015,0.1450492091941012
Sucre,2015,0.08584686774941995
Tolima,2015,0.13991446277385006
Valle Del Cauca,2015,0.11552945513917784
Vaupés,2015,0.40588235294117647
Vichada,2015,0.2286902286902287
Amazonas,2016,0.17419354838709677
Antioquia,2016,0.07371434062765987
Arauca,2016,0.09897360703812316
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2016,0.030303030303030304
Atlántico,2016,0.08133498533586361
Bogotá D.C.,2016,0.08564360680044987
Bolívar,2016,0.0990841208727103
Boyacá,2016,0.0631701038218903
Caldas,2016,0.047416966180227775
Caquetá,2016,0.0850132833255196
Casanare,2016,0.14363438520130578
Cauca,2016,0.06739501221592219
Cesar,2016,0.10813904452075426
Chocó,2016,0.11606421064788082
Córdoba,2016,0.09841206030150754
Cundinamarca,2016,0.08585076168344952
Guainía,2016,0.15714285714285714
Guaviare,2016,0.29372937293729373
Huila,2016,0.09404727997721447
La Guajira,2016,0.1076664900194312
Magdalena,2016,0.07087298140324555
Meta,2016,0.10223572823963534
Nariño,2016,0.07227247553996677
Norte De Santander,2016,0.06833956219967965
Putumayo,2016,0.15012722646310434
Quindío,2016,0.06062319386857645
Risaralda,2016,0.06267452683834937
Santander,2016,0.08094190755481077
Sucre,2016,0.08535564853556485
Tolima,2016,0.09513783479410469
Valle Del Cauca,2016,0.0791209371042634
Vaupés,2016,0.0
Vichada,2016,0.2967032967032967
Departamento de oferta del programa,2016,2016.0
Amazonas,2016,0.03980099502487562
Antioquia,2016,0.16348456013260482
Arauca,2016,0.14035087719298245
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2016,0.07749627421758569
Atlántico,2016,0.1349458943348186
Bogotá D.C.,2016,0.15389908256880733
Bolívar,2016,0.13172823218997362
Boyacá,2016,0.12845177875445726
Caldas,2016,0.1515293237302404
Caquetá,2016,0.17734322319622386
Casanare,2016,0.14797008547008547
Cauca,2016,0.13190371991247266
Cesar,2016,0.11459055009006512
Chocó,2016,0.14634146341463414
Córdoba,2016,0.15155305399207838
Cundinamarca,2016,0.1241506391800069
Guainía,2016,0.06788511749347259
Guaviare,2016,0.16738995660260383
Huila,2016,0.14640494523370567
La Guajira,2016,0.13834641357912028
Magdalena,2016,0.15133665609424557
Meta,2016,0.14040708631737656
Nariño,2016,0.13807902915495043
Norte De Santander,2016,0.13548280695967677
Putumayo,2016,0.0864
Quindío,2016,0.14781587098152302
Risaralda,2016,0.1275931296007138
Santander,2016,0.16626782077393076
Sucre,2016,0.1618780658724597
Tolima,2016,0.17873540600813329
Valle Del Cauca,2016,0.14038592145739284
Vaupés,2016,0.19540229885057472
Vichada,2016,0.13429752066115702
Departamento de oferta del programa,2016,2016.0
Amazonas,2016,0.0
Antioquia,2016,0.31407857811038353
Arauca,2016,0.0
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2016,0.48148148148148145
Atlántico,2016,0.20118203309692673
Bogotá D.C.,2016,0.19360799145422525
Bolívar,2016,0.19872992155397834
Boyacá,2016,0.13996316758747698
Caldas,2016,0.25760755508919203
Caquetá,2016,0.14728682170542637
Casanare,2016,0.25066666666666665
Cauca,2016,0.08064516129032258
Cesar,2016,0.27884615384615385
Chocó,2016,0.8333333333333334
Córdoba,2016,0.11158798283261803
